Location,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alabama,28.0,39.0,54.0,55.0,61.0,40.0,45.0,53.0,70.0,75.0,99.0,122.0,95.0
Alaska,,,16.0,14.0,12.0,,25.0,,17.0,24.0,27.0,,14.0
Arizona,73.0,80.0,83.0,133.0,138.0,123.0,107.0,118.0,131.0,149.0,199.0,221.0,283.0
Arkansas,33.0,32.0,52.0,46.0,53.0,46.0,37.0,39.0,31.0,35.0,36.0,53.0,48.0
California,189.0,221.0,244.0,295.0,304.0,331.0,313.0,359.0,374.0,390.0,412.0,536.0,610.0
Colorado,70.0,57.0,64.0,96.0,64.0,92.0,99.0,88.0,141.0,148.0,143.0,173.0,159.0
Connecticut,41.0,46.0,46.0,54.0,38.0,53.0,50.0,113.0,127.0,168.0,225.0,261.0,220.0
Delaware,12.0,,21.0,17.0,,33.0,21.0,,,43.0,54.0,65.0,102.0
District of Columbia,,,,,,,,,,,,,16.0
Florida,249.0,314.0,334.0,356.0,409.0,393.0,275.0,270.0,358.0,475.0,815.0,947.0,898.0
Georgia,78.0,88.0,91.0,104.0,107.0,121.0,123.0,114.0,188.0,252.0,243.0,279.0,220.0
Hawaii,12.0,,,,,,,,,,10.0,,11.0
Idaho,17.0,,,,,15.0,,,,17.0,29.0,,39.0
Illinois,189.0,146.0,212.0,216.0,219.0,263.0,309.0,286.0,314.0,332.0,511.0,561.0,531.0
Indiana,46.0,62.0,73.0,64.0,88.0,97.0,97.0,106.0,128.0,172.0,257.0,367.0,328.0
Iowa,,18.0,26.0,37.0,28.0,38.0,31.0,31.0,28.0,34.0,43.0,41.0,49.0
Kansas,24.0,24.0,15.0,26.0,18.0,29.0,39.0,33.0,40.0,,29.0,21.0,38.0
Kentucky,100.0,115.0,94.0,98.0,149.0,155.0,151.0,155.0,175.0,231.0,219.0,303.0,273.0
Louisiana,58.0,66.0,26.0,30.0,31.0,,51.0,72.0,73.0,75.0,89.0,112.0,125.0
Maine,22.0,36.0,28.0,24.0,,,,,52.0,68.0,88.0,115.0,80.0
Maryland,90.0,109.0,89.0,125.0,120.0,138.0,157.0,198.0,219.0,267.0,463.0,534.0,511.0
Massachusetts,145.0,145.0,138.0,157.0,143.0,181.0,192.0,246.0,345.0,494.0,629.0,587.0,630.0
Michigan,130.0,106.0,132.0,160.0,154.0,174.0,184.0,232.0,258.0,343.0,495.0,572.0,533.0
Minnesota,38.0,21.0,51.0,43.0,54.0,53.0,70.0,77.0,73.0,87.0,110.0,110.0,108.0
Mississippi,,,,,,17.0,,,27.0,48.0,44.0,44.0,41.0
Missouri,88.0,67.0,108.0,139.0,168.0,156.0,147.0,144.0,185.0,176.0,266.0,279.0,329.0
Montana,14.0,10.0,12.0,15.0,16.0,,13.0,12.0,,10.0,12.0,11.0,14.0
Nebraska,,,,,,16.0,12.0,,17.0,,16.0,,17.0
Nevada,50.0,83.0,71.0,61.0,71.0,86.0,71.0,75.0,65.0,81.0,74.0,73.0,79.0
New Hampshire,17.0,29.0,20.0,30.0,,34.0,37.0,35.0,97.0,129.0,151.0,147.0,133.0
New Jersey,75.0,70.0,71.0,,71.0,103.0,146.0,180.0,181.0,251.0,429.0,541.0,739.0
New Mexico,51.0,61.0,75.0,36.0,51.0,53.0,69.0,59.0,95.0,82.0,91.0,93.0,75.0
New York,167.0,215.0,195.0,197.0,199.0,315.0,363.0,399.0,449.0,593.0,863.0,907.0,829.0
North Carolina,158.0,156.0,175.0,191.0,172.0,195.0,172.0,182.0,243.0,288.0,451.0,589.0,541.0
North Dakota,,,,,,,,,11.0,10.0,13.0,10.0,12.0
Ohio,143.0,134.0,200.0,177.0,264.0,293.0,350.0,432.0,560.0,783.0,1073.0,1263.0,951.0
Oklahoma,72.0,107.0,72.0,116.0,109.0,98.0,107.0,87.0,92.0,86.0,88.0,73.0,80.0
Oregon,64.0,66.0,67.0,69.0,71.0,80.0,73.0,55.0,78.0,71.0,66.0,76.0,81.0
Pennsylvania,100.0,121.0,126.0,169.0,164.0,222.0,261.0,290.0,306.0,438.0,752.0,819.0,873.0
Rhode Island,25.0,14.0,28.0,14.0,,,29.0,42.0,55.0,72.0,77.0,73.0,61.0
South Carolina,47.0,26.0,42.0,45.0,60.0,56.0,54.0,49.0,81.0,131.0,139.0,193.0,206.0
South Dakota,,,,,,,10.0,,12.0,,14.0,10.0,
Tennessee,109.0,109.0,84.0,113.0,141.0,141.0,158.0,149.0,196.0,205.0,288.0,303.0,352.0
Texas,200.0,224.0,210.0,261.0,236.0,274.0,268.0,248.0,285.0,329.0,330.0,387.0,358.0
Utah,81.0,97.0,101.0,105.0,95.0,94.0,107.0,120.0,118.0,113.0,120.0,117.0,100.0
Vermont,12.0,,12.0,,,10.0,,,,,,37.0,44.0
Virginia,91.0,123.0,118.0,113.0,99.0,136.0,132.0,187.0,200.0,230.0,341.0,366.0,342.0
Washington,110.0,127.0,115.0,129.0,106.0,132.0,125.0,127.0,129.0,158.0,153.0,190.0,182.0
West Virginia,73.0,94.0,90.0,51.0,110.0,138.0,110.0,131.0,128.0,125.0,181.0,212.0,193.0
Wisconsin,80.0,80.0,82.0,81.0,93.0,127.0,131.0,149.0,161.0,172.0,237.0,281.0,268.0
Wyoming,,,,,11.0,,,,14.0,11.0,,,10.0
