Medicare Part D Opioid Prescribing Rates from Calendar Year 2014 - State ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Urban and rural totals differ slightly from overall totals due to inability to map a small number of provider ZIP codes to the  United States Department of Agriculture (USDA) 2010 Rural-Urban Commuting Area Codes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Calendar Year 2014 ,,,,,,,,,,,,,,,,,,,,,Change in Opioid Prescribing Rates 2013 to 2014 ,,,,,
State Name,State Abbreviation,State FIPS,Part D Prescribers,Urban Part D Prescribers,Rural Part D Prescribers,Part D Opioid Prescribers,Urban Part D Opioid Prescribers,Rural Part D Opioid Prescribers,Opioid Claims,Urban Opioid Claims,Rural Opioid Claims,Long-Acting Opioid Claims,Urban Long-Acting Opioid Claims,Rural Long-Acting Opioid Claims,Overall Claims,Urban Overall Claims,Rural Overall Claims,Opioid Prescribing Rate,Urban Opioid Prescribing Rate,Rural Opioid Prescribing Rate,Long-Acting Opioid Prescribing Rate,Urban Long-Acting Opioid Prescribing Rate,Rural Long-Acting Opioid Prescribing Rate,Change in Opioid Prescribing Rate,Change in Urban Opioid Prescribing Rate,Change in Rural Opioid Prescribing Rate,Change in Long-Acting Opioid Prescribing Rate ,Change in Urban Long-Acting Opioid Prescribing Rate ,Change in Rural Long-Acting Opioid Prescribing Rate 
Tennessee ,TN ,47,"23,033","19,047","4,025","12,753","10,128","2,642","2,922,733","2,048,551","874,264","402,889","295,728","107,503","39,979,877","28,027,259","11,936,006",7.31,7.31,7.32,13.78,14.44,12.30,-0.05,-0.11,0.11,-0.10,-0.34,0.61
Texas ,TX ,48,"66,919","60,840","6,067","32,182","28,672","3,501","5,201,466","4,421,168","778,984","424,802","373,581","50,972","87,442,059","73,479,611","13,949,915",5.95,6.02,5.58,8.17,8.45,6.54,-0.13,-0.12,-0.21,0.28,0.30,0.06
Utah ,UT ,49,"7,979","7,249",728,"3,892","3,451",439,"541,241","460,968","80,125","78,006","65,691","12,315","6,976,422","6,008,353","967,140",7.76,7.67,8.28,14.41,14.25,15.37,0.09,0.08,0.08,0.25,0.25,0.22
Vermont ,VT ,50,"2,550","1,095","1,455","1,196",463,733,"151,075","46,020","105,055","33,247","10,337","22,910","2,566,281","725,645","1,840,592",5.89,6.34,5.71,22.01,22.46,21.81,0.01,-0.26,0.09,0.26,0.22,0.27
Virginia ,VA ,51,"24,844","22,549","2,291","12,076","10,667","1,403","1,737,696","1,352,462","384,562","191,439","158,325","33,069","29,801,024","23,103,190","6,694,804",5.83,5.85,5.74,11.02,11.71,8.60,-0.12,-0.13,-0.12,-0.08,-0.12,0.06
Washington ,WA ,53,"24,598","22,653","1,937","12,373","11,208","1,157","1,629,823","1,428,035","201,540","273,840","241,289","32,463","23,097,569","20,393,744","2,701,211",7.06,7.00,7.46,16.80,16.90,16.11,0.10,0.11,-0.06,-0.24,-0.20,-0.55
West Virginia ,WV ,54,"6,892","5,266","1,620","3,436","2,556",876,"799,371","569,523","229,354","70,232","53,387","16,771","12,604,461","8,590,275","4,003,373",6.34,6.63,5.73,8.79,9.37,7.31,-0.19,-0.22,-0.14,0.16,0.29,-0.17
Wisconsin ,WI ,55,"20,148","15,889","4,250","10,300","7,817","2,477","1,483,635","1,102,312","379,207","259,444","193,078","66,081","25,013,596","18,197,097","6,756,203",5.93,6.06,5.61,17.49,17.52,17.43,0.03,0.02,0.06,-0.22,-0.09,-0.59
Wyoming ,WY ,56,"1,717",671,"1,048",875,335,541,"102,806","36,655","66,308","15,741","5,451","10,334","1,674,691","621,868","1,054,382",6.14,5.89,6.29,15.31,14.87,15.58,0.21,0.03,0.31,-0.02,0.42,-0.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
