Location,0-24,25-34,35-44,45-54,55+,Total
United States,2255,3818,4696,5475,2270,18516
Alabama,34,39,39,38,15,165
Alaska,N/A,N/A,N/A,N/A,N/A,15
Arizona,60,80,116,142,63,461
Arkansas,24,32,34,44,14,148
California,138,221,368,608,321,1657
Colorado,31,57,93,112,60,353
Connecticut,41,46,76,68,13,244
Delaware,N/A,N/A,13,N/A,N/A,45
District of Columbia,N/A,N/A,N/A,13,N/A,29
Florida,204,314,354,395,206,1473
Georgia,55,88,100,97,45,385
Hawaii,N/A,N/A,17,37,13,78
Idaho,N/A,N/A,N/A,N/A,N/A,62
Illinois,98,146,191,186,70,691
Indiana,45,62,63,49,22,241
Iowa,18,18,22,39,10,107
Kansas,12,24,30,43,N/A,117
Kentucky,42,115,79,74,33,343
Louisiana,33,66,53,44,16,212
Maine,16,36,19,22,N/A,102
Maryland,62,109,183,195,51,600
Massachusetts,50,145,183,203,68,649
Michigan,67,106,118,163,52,506
Minnesota,20,21,54,56,29,180
Mississippi,N/A,N/A,N/A,N/A,N/A,95
Missouri,59,67,103,116,45,390
Montana,N/A,10,12,26,N/A,62
Nebraska,N/A,N/A,15,N/A,N/A,39
Nevada,44,83,85,105,59,376
New Hampshire,26,29,33,39,18,145
New Jersey,37,70,124,79,29,339
New Mexico,34,61,54,79,38,266
New York,86,215,258,326,144,1029
North Carolina,105,156,204,214,71,750
North Dakota,N/A,N/A,N/A,N/A,N/A,17
Ohio,80,134,179,239,73,705
Oklahoma,64,107,124,138,59,492
Oregon,30,66,83,125,54,358
Pennsylvania,75,121,108,136,52,492
Rhode Island,N/A,14,21,33,12,87
South Carolina,18,26,54,71,30,199
South Dakota,N/A,N/A,N/A,N/A,N/A,20
Tennessee,58,109,128,130,54,479
Texas,159,224,242,282,114,1021
Utah,62,97,84,76,40,359
Vermont,N/A,N/A,21,12,N/A,52
Virginia,63,123,149,134,33,502
Washington,57,127,160,205,102,651
West Virginia,37,94,90,89,22,332
Wisconsin,54,80,102,101,34,371
Wyoming,N/A,N/A,N/A,N/A,N/A,25
