Location,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alabama,20.0,34.0,18.0,28.0,24.0,23.0,18.0,20.0,25.0,25.0,37.0,31.0,27.0
Alaska,,,13.0,12.0,,,13.0,,12.0,16.0,13.0,,
Arizona,53.0,60.0,57.0,81.0,86.0,77.0,61.0,69.0,62.0,79.0,108.0,118.0,185.0
Arkansas,29.0,24.0,34.0,32.0,30.0,21.0,25.0,24.0,17.0,18.0,13.0,20.0,23.0
California,108.0,138.0,173.0,155.0,201.0,208.0,170.0,177.0,178.0,179.0,212.0,208.0,226.0
Colorado,35.0,31.0,36.0,52.0,38.0,58.0,44.0,67.0,46.0,43.0,67.0,57.0,60.0
Connecticut,35.0,41.0,37.0,27.0,25.0,34.0,25.0,45.0,45.0,63.0,60.0,90.0,68.0
Delaware,,,,12.0,,15.0,11.0,,,12.0,13.0,25.0,16.0
District of Columbia,,,,,,,,,,,,,
Florida,186.0,204.0,194.0,175.0,171.0,121.0,87.0,84.0,99.0,160.0,246.0,217.0,187.0
Georgia,39.0,55.0,67.0,55.0,74.0,70.0,50.0,53.0,89.0,94.0,80.0,100.0,68.0
Hawaii,,,,,,,,,,,12.0,,
Idaho,,,,,,11.0,,,,11.0,10.0,,11.0
Illinois,118.0,98.0,125.0,127.0,126.0,127.0,160.0,141.0,127.0,156.0,183.0,181.0,172.0
Indiana,32.0,45.0,49.0,42.0,42.0,39.0,57.0,49.0,58.0,69.0,69.0,115.0,103.0
Iowa,,18.0,13.0,15.0,15.0,21.0,14.0,24.0,21.0,16.0,24.0,28.0,17.0
Kansas,10.0,12.0,12.0,17.0,15.0,11.0,22.0,17.0,18.0,,14.0,17.0,13.0
Kentucky,50.0,42.0,41.0,31.0,51.0,48.0,55.0,56.0,51.0,58.0,76.0,76.0,72.0
Louisiana,33.0,33.0,22.0,12.0,16.0,,22.0,29.0,23.0,23.0,35.0,26.0,27.0
Maine,17.0,16.0,,10.0,,,,,11.0,17.0,25.0,23.0,12.0
Maryland,72.0,62.0,61.0,62.0,62.0,68.0,76.0,71.0,93.0,87.0,141.0,142.0,119.0
Massachusetts,65.0,50.0,54.0,62.0,56.0,69.0,53.0,75.0,103.0,154.0,165.0,132.0,113.0
Michigan,72.0,67.0,77.0,70.0,85.0,83.0,77.0,99.0,103.0,123.0,153.0,162.0,129.0
Minnesota,13.0,20.0,22.0,38.0,29.0,34.0,44.0,34.0,34.0,34.0,61.0,57.0,42.0
Mississippi,,,,,,,,,16.0,,13.0,12.0,
Missouri,67.0,59.0,63.0,81.0,83.0,74.0,49.0,67.0,76.0,84.0,116.0,104.0,133.0
Montana,,,,,,,,,,,,,
Nebraska,,,,,,,,,,,,,
Nevada,36.0,44.0,40.0,51.0,46.0,57.0,38.0,34.0,34.0,34.0,39.0,39.0,16.0
New Hampshire,18.0,26.0,,15.0,,17.0,14.0,17.0,31.0,41.0,55.0,40.0,31.0
New Jersey,40.0,37.0,52.0,,58.0,72.0,80.0,95.0,91.0,105.0,157.0,193.0,197.0
New Mexico,17.0,34.0,32.0,35.0,29.0,32.0,30.0,34.0,31.0,32.0,38.0,26.0,35.0
New York,96.0,86.0,117.0,117.0,127.0,173.0,174.0,208.0,200.0,245.0,319.0,270.0,221.0
North Carolina,105.0,105.0,117.0,113.0,79.0,92.0,92.0,74.0,93.0,109.0,151.0,215.0,167.0
North Dakota,,,,,,,,,,,,,
Ohio,67.0,80.0,86.0,55.0,113.0,111.0,125.0,130.0,194.0,241.0,320.0,336.0,232.0
Oklahoma,45.0,64.0,52.0,59.0,47.0,54.0,48.0,48.0,34.0,26.0,31.0,25.0,25.0
Oregon,25.0,30.0,37.0,29.0,32.0,38.0,34.0,22.0,32.0,23.0,38.0,40.0,20.0
Pennsylvania,90.0,75.0,106.0,92.0,102.0,106.0,105.0,112.0,169.0,168.0,245.0,272.0,218.0
Rhode Island,10.0,,,14.0,,,10.0,13.0,11.0,23.0,22.0,16.0,17.0
South Carolina,26.0,18.0,25.0,25.0,27.0,30.0,28.0,12.0,40.0,33.0,58.0,64.0,77.0
South Dakota,,,,,,,,,,,,,
Tennessee,56.0,58.0,53.0,56.0,62.0,48.0,51.0,53.0,49.0,71.0,88.0,105.0,97.0
Texas,162.0,159.0,140.0,161.0,186.0,217.0,169.0,149.0,143.0,169.0,198.0,175.0,149.0
Utah,59.0,62.0,45.0,45.0,59.0,59.0,42.0,55.0,36.0,39.0,41.0,43.0,45.0
Vermont,,,,,,,,,,,,15.0,
Virginia,46.0,63.0,67.0,49.0,44.0,72.0,54.0,59.0,73.0,91.0,119.0,103.0,90.0
Washington,64.0,57.0,61.0,57.0,62.0,60.0,67.0,51.0,58.0,53.0,61.0,68.0,71.0
West Virginia,47.0,37.0,41.0,11.0,43.0,33.0,18.0,32.0,32.0,42.0,47.0,51.0,48.0
Wisconsin,31.0,54.0,48.0,47.0,41.0,64.0,44.0,83.0,67.0,52.0,101.0,91.0,56.0
Wyoming,,,,,,,,,,,,,
